 &plot nbnd=  13, nks=    99 /
  -75.424  -38.945  -38.923  -38.889   10.861   11.159   12.148   12.896   13.610   21.068
   21.901   23.404   26.589
            0.850000  0.000000  0.650000
  -75.424  -38.947  -38.923  -38.887   10.808   11.130   12.255   12.925   13.569   20.916
   21.783   23.378   27.235
            0.825000  0.000000  0.675000
  -75.425  -38.948  -38.922  -38.885   10.760   11.112   12.350   12.951   13.528   20.796
   21.688   23.356   27.856
            0.800000 -0.000000  0.700000
  -75.425  -38.949  -38.922  -38.884   10.722   11.101   12.427   12.971   13.490   20.709
   21.617   23.339   28.409
            0.775000  0.000000  0.725000
  -75.425  -38.949  -38.922  -38.883   10.699   11.094   12.477   12.984   13.463   20.657
   21.574   23.329   28.818
            0.750000  0.000000  0.750000
  -75.425  -38.950  -38.922  -38.883   10.691   11.092   12.495   12.988   13.453   20.640
   21.560   23.326   28.976
